,rx,ry,rconfidence
0,141.435,186.258,0.370491
0,153.1,140.783,0.75668
0,154.416,138.843,0.777126
0,151.822,142.741,0.759842
0,140.789,125.198,0.614696
0,155.716,142.091,0.764241
0,138.827,179.086,0.672309
0,156.37,137.557,0.760632
0,0.0,0.0,0.0
0,158.995,133.007,0.707346
0,153.133,141.431,0.762076
0,179.104,120.647,0.528153
0,153.122,137.56,0.835339
0,0.0,0.0,0.0
0,154.425,138.845,0.788792
0,0.0,0.0,0.0
0,176.504,111.542,0.642515
0,0.0,0.0,0.0
0,153.766,138.181,0.751661
0,151.179,148.571,0.674279
0,153.097,139.501,0.732292
0,179.099,117.397,0.340168
0,168.689,138.852,0.534372
0,142.718,168.685,0.783542
0,156.361,138.175,0.749632
0,136.242,142.077,0.630062
0,0.0,0.0,0.0
0,152.459,142.7,0.806801
0,151.824,144.019,0.760933
0,140.143,179.728,0.621369
0,180.407,121.294,0.446154
0,150.535,144.021,0.767358
0,159.618,137.508,0.786231
0,175.199,128.445,0.578475
0,148.578,151.816,0.755105
0,0.0,0.0,0.0
0,155.08,138.854,0.731435
0,153.757,138.183,0.830923
0,153.788,142.718,0.797067
0,157.655,136.886,0.726645
0,138.174,185.607,0.404353
0,150.519,143.389,0.774608
0,153.779,139.498,0.765361
0,169.357,118.061,0.773752
0,0.0,0.0,0.0
0,167.414,127.132,0.610697
0,153.101,142.709,0.789324
0,161.56,133.645,0.70712
0,148.571,149.229,0.817243
0,0.0,0.0,0.0
0,153.115,146.615,0.731323
0,152.486,142.067,0.787978
0,164.16,129.733,0.652225
0,172.603,127.794,0.303888
0,153.099,142.7,0.802754
0,0.0,0.0,0.0
0,151.821,142.739,0.803463
0,0.0,0.0,0.0
0,151.832,143.384,0.751754
0,0.0,0.0,0.0
0,154.409,138.853,0.754457
0,157.678,134.937,0.736747
0,145.985,153.784,0.73989
0,176.494,127.78,0.678836
0,175.849,127.794,0.663365
0,151.171,144.682,0.72863
0,149.24,144.034,0.726631
0,163.528,133.008,0.722652
0,142.747,143.372,0.747907
0,153.775,138.176,0.802495
0,164.172,129.086,0.643546
0,151.819,142.732,0.768796
0,0.0,0.0,0.0
0,152.471,144.693,0.726262
0,177.151,129.739,0.494644
0,160.274,136.227,0.687339
0,0.0,0.0,0.0
0,158.995,133.632,0.730321
0,151.176,144.674,0.736314
0,171.317,137.533,0.500783
0,0.0,0.0,0.0
0,174.573,130.387,0.56784
0,153.759,146.63,0.72219
0,138.174,184.28,0.444102
0,156.36,140.772,0.58111
0,155.083,137.538,0.711414
0,151.831,142.749,0.786722
0,179.76,121.294,0.416247
0,174.539,131.038,0.535658
0,136.882,179.114,0.671831
0,157.019,135.587,0.712613
0,153.134,143.361,0.767306
0,0.0,0.0,0.0
0,137.548,184.285,0.507263
0,153.757,140.779,0.759167
0,138.201,171.317,0.724143
0,153.109,142.091,0.79557
0,146.635,153.142,0.763789
0,152.464,142.701,0.744848
0,153.748,148.555,0.746625
0,137.532,184.967,0.415073
0,151.807,144.047,0.729882
0,148.586,132.98,0.74168
0,152.465,142.741,0.771715
0,151.814,144.039,0.733024
0,153.145,142.741,0.766847
0,155.726,142.72,0.753901
0,163.518,133.641,0.724249
0,157.023,121.949,0.640611
0,158.299,140.787,0.712966
0,180.417,117.409,0.508663
0,156.361,136.24,0.707954
0,147.914,150.523,0.718042
0,158.319,133.653,0.719594
0,153.758,139.476,0.767606
0,153.777,138.851,0.798114
0,0.0,0.0,0.0
0,151.82,143.414,0.757581
0,138.204,182.987,0.455337
0,148.601,148.586,0.78841
0,142.064,179.092,0.638119
0,148.591,147.935,0.702243
0,159.617,136.884,0.659203
0,152.457,142.74,0.696378
0,0.0,0.0,0.0
0,152.46,142.733,0.769471
0,156.365,138.213,0.735773
0,152.456,142.061,0.77247
0,137.513,140.789,0.627138
0,147.276,149.222,0.762956
0,152.48,142.094,0.748683
0,0.0,0.0,0.0
0,158.314,136.897,0.759662
0,158.323,139.5,0.736739
0,176.494,118.702,0.551296
0,149.864,149.229,0.770167
0,0.0,0.0,0.0
0,180.391,122.585,0.451956
0,153.143,142.741,0.771878
0,163.506,129.736,0.671947
0,158.994,133.633,0.701628
0,160.92,120.659,0.717734
0,0.0,0.0,0.0
0,153.115,140.792,0.654
0,152.472,142.742,0.746247
0,182.351,118.049,0.578199
0,0.0,0.0,0.0
0,149.872,148.594,0.792613
0,151.817,143.377,0.774704
0,0.0,0.0,0.0
0,151.181,146.622,0.719539
0,0.0,0.0,0.0
0,170.024,121.947,0.612455
0,152.453,143.411,0.790855
0,153.132,142.091,0.800601
0,175.854,120.648,0.52515
0,176.511,121.295,0.548884
0,179.097,122.584,0.371588
0,0.0,0.0,0.0
0,157.018,136.237,0.740353
0,151.824,143.409,0.762411
0,157.015,138.83,0.681543
0,148.582,148.583,0.802097
0,176.501,119.345,0.581224
0,177.14,127.788,0.615354
0,149.871,146.611,0.740527
0,153.787,138.832,0.783978
0,0.0,0.0,0.0
0,151.169,143.357,0.794887
0,157.016,140.138,0.600005
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,148.553,151.173,0.777003
0,152.452,142.734,0.767396
0,153.115,144.672,0.726573
0,153.1,142.714,0.771953
0,152.478,143.366,0.791353
0,0.0,0.0,0.0
0,153.762,140.135,0.776116
0,154.435,142.09,0.759674
0,147.934,150.534,0.787368
0,138.2,182.337,0.515031
0,138.839,181.69,0.482263
0,161.567,134.95,0.630555
0,148.569,152.464,0.542973
0,148.602,147.934,0.695449
0,179.107,122.585,0.400746
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,152.47,143.372,0.799225
0,153.768,141.435,0.735318
0,179.071,125.2,0.639584
0,154.42,140.128,0.692605
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,153.764,142.058,0.756382
0,153.783,137.539,0.785556
0,153.793,139.496,0.730212
0,153.129,142.063,0.674952
0,0.0,0.0,0.0
0,153.095,145.978,0.739363
0,150.529,143.369,0.765549
0,153.106,142.09,0.747262
0,157.011,135.584,0.732771
0,148.555,151.162,0.792288
0,147.951,151.176,0.784008
0,0.0,0.0,0.0
0,139.479,126.486,0.759528
0,0.0,0.0,0.0
0,155.079,138.18,0.719352
0,151.813,143.396,0.75793
0,153.752,137.546,0.811664
0,154.438,138.183,0.753737
0,175.845,118.694,0.5629
0,158.299,138.205,0.772806
0,153.796,140.138,0.753427
0,0.0,0.0,0.0
0,152.469,143.404,0.713306
0,154.437,137.51,0.7872
0,153.749,139.481,0.757595
