,lx,ly,lconfidence
0,177.147,138.834,0.458619
0,168.07,142.074,0.395583
0,164.155,148.572,0.155452
0,165.467,140.78,0.43477
0,0.0,0.0,0.0
0,167.412,142.73,0.123859
0,158.958,146.631,0.0827822
0,153.774,164.155,0.0583937
0,166.756,149.228,0.0537264
0,166.105,149.222,0.34697
0,174.558,137.534,0.352634
0,180.417,137.537,0.549342
0,170.016,140.785,0.398538
0,169.357,143.373,0.401927
0,169.343,141.425,0.347029
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,168.068,143.384,0.266167
0,179.101,137.54,0.267452
0,178.443,138.186,0.55592
0,175.211,141.44,0.577022
0,167.408,138.845,0.258053
0,158.295,143.387,0.0789032
0,36.8752,237.556,0.128622
0,169.358,142.081,0.155338
0,167.4,147.281,0.471456
0,171.95,139.481,0.509734
0,170.019,137.546,0.464149
